Requisition_ID,Fiscal_Year,Office,Job_Series,Grade_Level,Applicants,Qualified_Applicants,Interviewed,Selected,Time_To_Fill_Days,Hiring_Stage,Vacancy_Type,Location,Qualification_Rate,Interview_Rate,Selection_Rate
REQ-1388,FY2026,Human Resources,2210 IT Specialist,GS-13,349,123,37,6,89,Selected,Backfill,"Baltimore, MD",35.24,30.08,16.22
REQ-1389,FY2026,Operations,0343 Management Analyst,GS-12,97,51,14,2,132,Open,Backfill,Hybrid,52.58,27.45,14.29
REQ-1390,FY2026,Operations,1515 Operations Research Analyst,GS-13,264,99,25,3,108,Selected,New Position,"Arlington, VA",37.5,25.25,12.0
REQ-1391,FY2025,Human Resources,0201 HR Specialist,GS-12,135,43,10,2,47,Open,Backfill,"Arlington, VA",31.85,23.26,20.0
REQ-1392,FY2024,Human Resources,0201 HR Specialist,GS-13,90,40,17,4,77,Interview,New Position,Remote,44.44,42.5,23.53
REQ-1393,FY2026,Human Resources,0301 Program Analyst,GS-9,331,99,44,12,83,Review,Backfill,"Washington, DC",29.91,44.44,27.27
REQ-1394,FY2025,Program Management,0501 Financial Analyst,GS-9,189,93,24,2,42,Interview,Temporary Surge,Remote,49.21,25.81,8.33
REQ-1395,FY2025,IT Services,0201 HR Specialist,GS-9,154,92,35,7,93,Review,Backfill,"Washington, DC",59.74,38.04,20.0
REQ-1396,FY2024,IT Services,0301 Program Analyst,GS-11,267,122,38,3,36,Interview,Temporary Surge,Hybrid,45.69,31.15,7.89
REQ-1397,FY2024,Human Resources,0301 Program Analyst,GS-12,166,65,18,4,58,Review,Temporary Surge,Remote,39.16,27.69,22.22
REQ-1398,FY2024,Program Management,2210 IT Specialist,GS-12,297,188,69,9,104,Selected,Backfill,"Baltimore, MD",63.3,36.7,13.04
REQ-1399,FY2026,Human Resources,0501 Financial Analyst,GS-12,39,18,6,1,65,Interview,New Position,"Arlington, VA",46.15,33.33,16.67
REQ-1400,FY2025,IT Services,1515 Operations Research Analyst,GS-12,138,78,18,4,123,Selected,Temporary Surge,Hybrid,56.52,23.08,22.22
REQ-1401,FY2024,Program Management,0301 Program Analyst,GS-9,206,102,26,2,93,Selected,Temporary Surge,"Arlington, VA",49.51,25.49,7.69
REQ-1402,FY2025,Policy,0501 Financial Analyst,GS-11,152,66,13,2,133,Cancelled,Backfill,"Arlington, VA",43.42,19.7,15.38
REQ-1403,FY2026,IT Services,2210 IT Specialist,GS-9,38,15,2,1,72,Interview,New Position,"Arlington, VA",39.47,13.33,50.0
REQ-1404,FY2026,Operations,0301 Program Analyst,GS-11,136,49,9,1,57,Review,New Position,"Arlington, VA",36.03,18.37,11.11
REQ-1405,FY2024,Finance,0301 Program Analyst,GS-12,169,104,13,3,83,Selected,Backfill,"Arlington, VA",61.54,12.5,23.08
REQ-1406,FY2026,Human Resources,0343 Management Analyst,GS-11,224,129,44,13,114,Selected,New Position,"Arlington, VA",57.59,34.11,29.55
REQ-1407,FY2024,Human Resources,0201 HR Specialist,GS-11,133,62,22,3,89,Cancelled,Temporary Surge,"Baltimore, MD",46.62,35.48,13.64
REQ-1408,FY2026,Program Management,0301 Program Analyst,GS-9,111,42,6,1,51,Selected,Backfill,Hybrid,37.84,14.29,16.67
REQ-1409,FY2025,IT Services,0501 Financial Analyst,GS-11,68,22,5,1,131,Interview,Backfill,"Baltimore, MD",32.35,22.73,20.0
REQ-1410,FY2026,IT Services,1515 Operations Research Analyst,GS-9,304,160,57,10,69,Interview,New Position,"Arlington, VA",52.63,35.62,17.54
REQ-1411,FY2026,Operations,2210 IT Specialist,GS-12,138,59,12,1,89,Selected,Temporary Surge,"Washington, DC",42.75,20.34,8.33
REQ-1412,FY2025,IT Services,0201 HR Specialist,GS-12,103,57,12,2,64,Interview,Backfill,Remote,55.34,21.05,16.67
REQ-1413,FY2024,Program Management,0301 Program Analyst,GS-12,274,116,28,5,69,Review,Temporary Surge,"Washington, DC",42.34,24.14,17.86
REQ-1414,FY2025,Operations,0343 Management Analyst,GS-9,218,133,29,5,104,Selected,New Position,"Baltimore, MD",61.01,21.8,17.24
REQ-1415,FY2026,Finance,0301 Program Analyst,GS-11,54,25,6,1,67,Review,Temporary Surge,Hybrid,46.3,24.0,16.67
REQ-1416,FY2025,IT Services,1515 Operations Research Analyst,GS-9,168,43,9,2,135,Cancelled,Backfill,Hybrid,25.6,20.93,22.22
REQ-1417,FY2026,IT Services,0201 HR Specialist,GS-13,111,66,13,3,61,Interview,Temporary Surge,Remote,59.46,19.7,23.08
REQ-1418,FY2025,Operations,0501 Financial Analyst,GS-13,209,118,26,3,133,Selected,Temporary Surge,"Washington, DC",56.46,22.03,11.54
REQ-1419,FY2026,Finance,2210 IT Specialist,GS-11,226,69,28,4,129,Open,Backfill,Remote,30.53,40.58,14.29
REQ-1420,FY2024,Operations,0301 Program Analyst,GS-12,241,134,47,6,110,Open,Temporary Surge,Hybrid,55.6,35.07,12.77
REQ-1421,FY2025,Operations,0501 Financial Analyst,GS-9,346,166,41,6,85,Open,Backfill,Hybrid,47.98,24.7,14.63
REQ-1422,FY2024,Policy,0201 HR Specialist,GS-13,266,134,30,3,121,Interview,New Position,"Arlington, VA",50.38,22.39,10.0
REQ-1423,FY2026,Human Resources,0501 Financial Analyst,GS-9,136,38,17,2,64,Review,Backfill,Hybrid,27.94,44.74,11.76
REQ-1424,FY2024,IT Services,0501 Financial Analyst,GS-13,40,13,5,1,55,Cancelled,Temporary Surge,"Washington, DC",32.5,38.46,20.0
REQ-1425,FY2026,Policy,0501 Financial Analyst,GS-11,234,148,60,5,61,Review,Temporary Surge,Hybrid,63.25,40.54,8.33
REQ-1426,FY2024,Program Management,0343 Management Analyst,GS-13,193,94,27,6,70,Review,Temporary Surge,"Arlington, VA",48.7,28.72,22.22
REQ-1427,FY2026,Human Resources,2210 IT Specialist,GS-13,304,116,36,6,94,Interview,Backfill,"Baltimore, MD",38.16,31.03,16.67
REQ-1428,FY2026,Policy,0501 Financial Analyst,GS-13,235,116,45,4,66,Open,Backfill,"Arlington, VA",49.36,38.79,8.89
REQ-1429,FY2026,IT Services,2210 IT Specialist,GS-9,326,94,33,2,55,Review,Temporary Surge,"Arlington, VA",28.83,35.11,6.06
REQ-1430,FY2024,IT Services,2210 IT Specialist,GS-13,287,119,44,4,82,Open,Backfill,"Arlington, VA",41.46,36.97,9.09
REQ-1431,FY2025,Finance,1515 Operations Research Analyst,GS-13,164,55,7,1,121,Selected,New Position,Remote,33.54,12.73,14.29
REQ-1432,FY2025,Program Management,0501 Financial Analyst,GS-9,54,14,2,1,76,Selected,New Position,Hybrid,25.93,14.29,50.0
REQ-1433,FY2024,Human Resources,0201 HR Specialist,GS-9,159,85,22,4,70,Selected,New Position,"Baltimore, MD",53.46,25.88,18.18
REQ-1434,FY2025,Operations,0501 Financial Analyst,GS-12,98,45,11,1,132,Open,New Position,"Arlington, VA",45.92,24.44,9.09
REQ-1435,FY2026,Policy,1515 Operations Research Analyst,GS-9,52,32,9,1,41,Selected,Backfill,"Baltimore, MD",61.54,28.12,11.11
REQ-1436,FY2024,Finance,0301 Program Analyst,GS-11,262,71,9,2,133,Review,New Position,"Washington, DC",27.1,12.68,22.22
REQ-1437,FY2024,Human Resources,1515 Operations Research Analyst,GS-11,250,65,8,2,122,Selected,Temporary Surge,"Arlington, VA",26.0,12.31,25.0
REQ-1438,FY2026,Operations,0201 HR Specialist,GS-13,57,24,4,1,106,Interview,Backfill,"Washington, DC",42.11,16.67,25.0
REQ-1439,FY2024,Program Management,0301 Program Analyst,GS-13,153,51,12,1,86,Selected,New Position,"Washington, DC",33.33,23.53,8.33
REQ-1440,FY2026,Program Management,0343 Management Analyst,GS-11,177,90,22,1,62,Review,Backfill,"Washington, DC",50.85,24.44,4.55
REQ-1441,FY2025,Operations,1515 Operations Research Analyst,GS-12,342,130,43,6,133,Selected,Temporary Surge,Remote,38.01,33.08,13.95
REQ-1442,FY2026,Operations,0201 HR Specialist,GS-9,69,26,8,2,83,Interview,New Position,"Washington, DC",37.68,30.77,25.0
REQ-1443,FY2026,Human Resources,0343 Management Analyst,GS-11,350,194,31,3,89,Selected,Backfill,Remote,55.43,15.98,9.68
REQ-1444,FY2026,Program Management,1515 Operations Research Analyst,GS-12,186,62,15,3,65,Selected,New Position,"Baltimore, MD",33.33,24.19,20.0
REQ-1445,FY2025,Human Resources,0301 Program Analyst,GS-12,197,100,37,7,88,Selected,Backfill,"Arlington, VA",50.76,37.0,18.92
REQ-1446,FY2026,Policy,0301 Program Analyst,GS-13,140,65,27,6,66,Selected,Temporary Surge,"Baltimore, MD",46.43,41.54,22.22
REQ-1447,FY2024,Policy,0301 Program Analyst,GS-11,128,55,7,2,43,Cancelled,New Position,"Washington, DC",42.97,12.73,28.57
REQ-1448,FY2025,Policy,0501 Financial Analyst,GS-12,123,60,24,7,65,Interview,New Position,"Arlington, VA",48.78,40.0,29.17
REQ-1449,FY2026,Operations,2210 IT Specialist,GS-13,160,67,21,3,108,Interview,New Position,"Baltimore, MD",41.88,31.34,14.29
REQ-1450,FY2024,Program Management,0343 Management Analyst,GS-13,238,95,26,4,113,Selected,Backfill,"Washington, DC",39.92,27.37,15.38
